Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cashewnut,2003,Whole Year,Andhra Pradesh,150077.0,39207.0,826.0,14854621.46,36018.48,0.225
Castor seed,2003,Kharif,Andhra Pradesh,290915.0,131870.0,826.0,28794766.7,69819.6,0.447894737
Coconut,2003,Whole Year,Andhra Pradesh,103965.0,1195079360.0,826.0,10290455.7,24951.6,9524.628235
Coriander,2003,Whole Year,Andhra Pradesh,48644.0,15999.0,826.0,4814783.12,11674.56,0.405294118
Cotton(lint),2003,Kharif,Andhra Pradesh,836892.0,1890394.0,826.0,82835570.16,200854.08,2.137619048
Dry chillies,2003,Kharif,Andhra Pradesh,199545.0,661563.0,826.0,19750964.1,47890.8,3.072272727
Dry chillies,2003,Rabi,Andhra Pradesh,50772.0,135462.0,826.0,5025412.56,12185.28,2.584545455
Ginger,2003,Whole Year,Andhra Pradesh,1873.0,5614.0,826.0,185389.54,449.52,2.995
Gram,2003,Kharif,Andhra Pradesh,52.0,90.0,826.0,5146.96,12.48,1.656666667
Gram,2003,Rabi,Andhra Pradesh,422059.0,456464.0,826.0,41775399.82,101294.16,1.338947368
Groundnut,2003,Kharif,Andhra Pradesh,1258479.0,607024.0,826.0,124564251.4,302034.96,0.836818182
Groundnut,2003,Rabi,Andhra Pradesh,234780.0,378789.0,826.0,23238524.4,56347.2,1.645
Horse-gram,2003,Kharif,Andhra Pradesh,11304.0,4592.0,826.0,1118869.92,2712.96,0.35
Horse-gram,2003,Rabi,Andhra Pradesh,68190.0,34385.0,826.0,6749446.2,16365.6,0.463333333
Jowar,2003,Kharif,Andhra Pradesh,274944.0,349245.0,826.0,27213957.12,65986.56,1.965
Jowar,2003,Rabi,Andhra Pradesh,373235.0,392881.0,826.0,36942800.3,89576.4,1.286666667
Linseed,2003,Rabi,Andhra Pradesh,4542.0,1193.0,826.0,449567.16,1090.08,0.21
Maize,2003,Kharif,Andhra Pradesh,557812.0,1671502.0,826.0,55212231.76,133874.88,2.420909091
Maize,2003,Rabi,Andhra Pradesh,162802.0,805284.0,826.0,16114141.96,39072.48,5.081818182
Mesta,2003,Kharif,Andhra Pradesh,59177.0,470198.0,826.0,5857339.46,14202.48,7.792857143
Moong(Green Gram),2003,Kharif,Andhra Pradesh,478726.0,244136.0,826.0,47384299.48,114894.24,0.495
Moong(Green Gram),2003,Rabi,Andhra Pradesh,201785.0,68268.0,826.0,19972679.3,48428.4,0.353
Niger seed,2003,Kharif,Andhra Pradesh,17295.0,6792.0,826.0,1711859.1,4150.8,0.375
Onion,2003,Kharif,Andhra Pradesh,16862.0,234546.0,826.0,1669000.76,4046.88,12.80157895
Onion,2003,Rabi,Andhra Pradesh,12187.0,284935.0,826.0,1206269.26,2924.88,19.88333333
Other  Rabi pulses,2003,Rabi,Andhra Pradesh,4333.0,795.0,826.0,428880.34,1039.92,0.181818182
Other Kharif pulses,2003,Kharif,Andhra Pradesh,8349.0,2056.0,826.0,826384.02,2003.76,0.240769231
Potato,2003,Whole Year,Andhra Pradesh,2648.0,24049.0,826.0,262099.04,635.52,9.045
Ragi,2003,Kharif,Andhra Pradesh,67597.0,82164.0,826.0,6690751.06,16223.28,1.140666667
Ragi,2003,Rabi,Andhra Pradesh,10845.0,19018.0,826.0,1073438.1,2602.8,1.783076923
Rapeseed &Mustard,2003,Rabi,Andhra Pradesh,1695.0,432.0,826.0,167771.1,406.8,0.285714286
Rice,2003,Kharif,Andhra Pradesh,2108904.0,5841539.0,826.0,208739317.9,506136.96,2.670909091
Rice,2003,Rabi,Andhra Pradesh,865734.0,3111263.0,826.0,85690351.32,207776.16,2.729090909
Safflower,2003,Rabi,Andhra Pradesh,17250.0,5331.0,826.0,1707405.0,4140.0,0.297272727
Sesamum,2003,Kharif,Andhra Pradesh,114516.0,33235.0,826.0,11334793.68,27483.84,0.262380952
Sesamum,2003,Rabi,Andhra Pradesh,46892.0,9544.0,826.0,4641370.16,11254.08,0.204210526
Small millets,2003,Kharif,Andhra Pradesh,47510.0,28020.0,826.0,4702539.8,11402.4,0.518666667
Small millets,2003,Rabi,Andhra Pradesh,3134.0,1748.0,826.0,310203.32,752.16,0.577142857
Soyabean,2003,Kharif,Andhra Pradesh,68424.0,107298.0,826.0,6772607.52,16421.76,1.345
Sugarcane,2003,Whole Year,Andhra Pradesh,208969.0,15069824.0,826.0,20683751.62,50152.56,74.48380952
Sunflower,2003,Kharif,Andhra Pradesh,490757.0,333265.0,826.0,48575127.86,117781.68,1.057142857
Sweet potato,2003,Whole Year,Andhra Pradesh,1263.0,9130.0,826.0,125011.74,303.12,7.32
Tapioca,2003,Whole Year,Andhra Pradesh,19456.0,122145.0,826.0,1925754.88,4669.44,6.29
Tobacco,2003,Whole Year,Andhra Pradesh,191030.0,516207.0,826.0,18908149.4,45847.2,3.782439024
Urad,2003,Kharif,Andhra Pradesh,95454.0,66827.0,826.0,9448036.92,22908.96,0.656363636
Urad,2003,Rabi,Andhra Pradesh,343078.0,133336.0,826.0,33957860.44,82338.72,0.408
Wheat,2003,Rabi,Andhra Pradesh,11928.0,6741.0,826.0,1180633.44,2862.72,0.481818182
Arecanut,2003,Whole Year,Karnataka,148939.0,198857.0,867.6,14741982.22,35745.36,1.302727273
Arhar/Tur,2003,Kharif,Karnataka,532251.0,199627.0,867.6,52682203.98,127740.24,0.298333333
Bajra,2003,Kharif,Karnataka,318328.0,191079.0,867.6,31508105.44,76398.72,0.532666667
Bajra,2003,Rabi,Karnataka,117.0,105.0,867.6,11580.66,28.08,0.9
Bajra,2003,Summer,Karnataka,300.0,271.0,867.6,29694.0,72.0,0.9225
Banana,2003,Whole Year,Karnataka,33220.0,431463.0,867.6,3288115.6,7972.8,14.36222222
Black pepper,2003,Whole Year,Karnataka,10694.0,23561.0,867.6,1058492.12,2566.56,2.220833333
Cardamom,2003,Whole Year,Karnataka,19480.0,1106.0,867.6,1928130.4,4675.2,0.061428571
Castor seed,2003,Kharif,Karnataka,17214.0,15439.0,867.6,1703841.72,4131.36,0.906190476
Coconut,2003,Whole Year,Karnataka,375957.0,1529139000.0,867.6,37212223.86,90229.68,4165.193333
Coriander,2003,Whole Year,Karnataka,7797.0,1187.0,867.6,771747.06,1871.28,0.1195
Cotton(lint),2003,Kharif,Karnataka,316674.0,264624.0,867.6,31344392.52,76001.76,1.192857143
Dry chillies,2003,Whole Year,Karnataka,69876.0,94502.0,867.6,6916326.48,16770.24,1.505185185
Garlic,2003,Whole Year,Karnataka,3970.0,2902.0,867.6,392950.6,952.8,1.331764706
Ginger,2003,Kharif,Karnataka,8281.0,108540.0,867.6,819653.38,1987.44,12.818125
Gram,2003,Rabi,Karnataka,509534.0,171096.0,867.6,50433675.32,122288.16,0.32
Groundnut,2003,Kharif,Karnataka,677779.0,294577.0,867.6,67086565.42,162666.96,0.5316
Groundnut,2003,Rabi,Karnataka,139464.0,138901.0,867.6,13804146.72,33471.36,1.0496
Horse-gram,2003,Kharif,Karnataka,109019.0,38239.0,867.6,10790700.62,26164.56,0.341666667
Horse-gram,2003,Rabi,Karnataka,164703.0,38936.0,867.6,16302302.94,39528.72,0.256153846
Jowar,2003,Kharif,Karnataka,247184.0,240150.0,867.6,24466272.32,59324.16,0.881363636
Jowar,2003,Rabi,Karnataka,1443986.0,522070.0,867.6,142925734.3,346556.64,0.344761905
Jowar,2003,Summer,Karnataka,7007.0,18783.0,867.6,693552.86,1681.68,2.634666667
Linseed,2003,Rabi,Karnataka,12909.0,996.0,867.6,1277732.82,3098.16,0.067142857
Maize,2003,Kharif,Karnataka,545546.0,1066107.0,867.6,53998143.08,130931.04,2.3356
Maize,2003,Rabi,Karnataka,64199.0,123529.0,867.6,6354417.02,15407.76,1.943478261
Maize,2003,Summer,Karnataka,8428.0,20264.0,867.6,834203.44,2022.72,2.470909091
Mesta,2003,Kharif,Karnataka,4060.0,6055.0,867.6,401858.8,974.4,1.72
Moong(Green Gram),2003,Kharif,Karnataka,264392.0,39470.0,867.6,26169520.16,63454.08,0.097727273
Moong(Green Gram),2003,Rabi,Karnataka,8380.0,2451.0,867.6,829452.4,2011.2,0.290666667
Niger seed,2003,Kharif,Karnataka,27485.0,5158.0,867.6,2720465.3,6596.4,0.213043478
Onion,2003,Whole Year,Karnataka,101221.0,360469.0,867.6,10018854.58,24293.04,6.0956
Other  Rabi pulses,2003,Rabi,Karnataka,24803.0,2864.0,867.6,2455000.94,5952.72,0.114
Other Kharif pulses,2003,Kharif,Karnataka,120612.0,38029.0,867.6,11938175.76,28946.88,0.2812
Potato,2003,Whole Year,Karnataka,53076.0,342752.0,867.6,5253462.48,12738.24,9.008666667
Ragi,2003,Kharif,Karnataka,926430.0,1103578.0,867.6,91698041.4,222343.2,1.064210526
Ragi,2003,Rabi,Karnataka,65271.0,13707.0,867.6,6460523.58,15665.04,0.607692308
Ragi,2003,Summer,Karnataka,6565.0,7808.0,867.6,649803.7,1575.6,1.190833333
Rapeseed &Mustard,2003,Rabi,Karnataka,6048.0,1706.0,867.6,598631.04,1451.52,0.223529412
Rice,2003,Kharif,Karnataka,944272.0,2100123.0,867.6,93464042.56,226625.28,2.133333333
Rice,2003,Rabi,Karnataka,54629.0,158046.0,867.6,5407178.42,13110.96,2.892
Rice,2003,Summer,Karnataka,74998.0,292230.0,867.6,7423302.04,17999.52,3.8768
Safflower,2003,Rabi,Karnataka,98643.0,41599.0,867.6,9763684.14,23674.32,0.39
Sannhamp,2003,Whole Year,Karnataka,466.0,116.0,867.6,46124.68,111.84,0.144285714
Sesamum,2003,Kharif,Karnataka,58471.0,25734.0,867.6,5787459.58,14033.04,0.385
Small millets,2003,Kharif,Karnataka,68145.0,38803.0,867.6,6744992.1,16354.8,0.546315789
Soyabean,2003,Kharif,Karnataka,93904.0,45255.0,867.6,9294617.92,22536.96,0.481
Sugarcane,2003,Whole Year,Karnataka,243341.0,16015440.0,867.6,24085892.18,58401.84,72.1276
Sunflower,2003,Kharif,Karnataka,360264.0,165177.0,867.6,35658930.72,86463.36,0.469130435
Sunflower,2003,Rabi,Karnataka,737406.0,179533.0,867.6,72988445.88,176977.44,0.462083333
Sunflower,2003,Summer,Karnataka,37795.0,19977.0,867.6,3740949.1,9070.8,0.567894737
Sweet potato,2003,Whole Year,Karnataka,3580.0,28718.0,867.6,354348.4,859.2,6.229333333
Tapioca,2003,Whole Year,Karnataka,1058.0,8357.0,867.6,104720.84,253.92,9.595714286
Tobacco,2003,Whole Year,Karnataka,98050.0,55107.0,867.6,9704989.0,23532.0,0.574285714
Turmeric,2003,Whole Year,Karnataka,5410.0,26381.0,867.6,535481.8,1298.4,4.343809524
Urad,2003,Kharif,Karnataka,129237.0,32541.0,867.6,12791878.26,31016.88,0.224444444
Urad,2003,Rabi,Karnataka,11397.0,6002.0,867.6,1128075.06,2735.28,0.49
Wheat,2003,Rabi,Karnataka,231994.0,96150.0,867.6,22962766.12,55678.56,0.516428571
Arecanut,2003,Whole Year,Kerala,102504.0,105490.0,2386.0,10145845.92,24600.96,0.86
Banana,2003,Whole Year,Kerala,55906.0,442220.0,2386.0,5533575.88,13417.44,8.215
Black pepper,2003,Whole Year,Kerala,216440.0,69015.0,2386.0,21423231.2,51945.6,0.222857143
Cardamom,2003,Whole Year,Kerala,41332.0,8875.0,2386.0,4091041.36,9919.68,0.07
Cashewnut,2003,Whole Year,Kerala,86376.0,65655.0,2386.0,8549496.48,20730.24,0.559285714
Coconut,2003,Whole Year,Kerala,898498.0,5876000000.0,2386.0,88933332.04,215639.52,6097.778571
Cotton(lint),2003,Kharif,Kerala,2949.0,4748.0,2386.0,291892.02,707.76,1.61
Garlic,2003,Whole Year,Kerala,638.0,10846.0,2386.0,63149.24,153.12,17.0
Ginger,2003,Whole Year,Kerala,8516.0,32972.0,2386.0,842913.68,2043.84,2.874285714
Groundnut,2003,Kharif,Kerala,2687.0,1988.0,2386.0,265959.26,644.88,0.74
Jowar,2003,Kharif,Kerala,2129.0,1087.0,2386.0,210728.42,510.96,0.628571429
Ragi,2003,Kharif,Kerala,1504.0,1217.0,2386.0,148865.92,360.96,0.76
Rice,2003,Autumn,Kerala,102770.0,220132.0,2386.0,10172174.6,24664.8,2.140769231
Rice,2003,Summer,Kerala,37186.0,83239.0,2386.0,3680670.28,8924.64,1.845
Rice,2003,Winter,Kerala,147384.0,266674.0,2386.0,14588068.32,35372.16,1.960714286
Sesamum,2003,Kharif,Kerala,1204.0,285.0,2386.0,119171.92,288.96,0.245555556
Small millets,2003,Kharif,Kerala,1233.0,960.0,2386.0,122042.34,295.92,0.726666667
Sugarcane,2003,Whole Year,Kerala,3535.0,290980.0,2386.0,349894.3,848.4,82.35
Sweet potato,2003,Whole Year,Kerala,1002.0,11981.0,2386.0,99177.96,240.48,11.52307692
Tapioca,2003,Whole Year,Kerala,94297.0,2540790.0,2386.0,9333517.06,22631.28,28.62785714
Tobacco,2003,Whole Year,Kerala,76.0,423.0,2386.0,7522.48,18.24,5.57
Turmeric,2003,Whole Year,Kerala,2774.0,5652.0,2386.0,274570.52,665.76,1.967857143
Arecanut,2003,Whole Year,Puducherry,64.0,77.0,1434.5875,6334.72,15.36,1.2
Bajra,2003,Kharif,Puducherry,197.0,383.0,1434.5875,19499.06,47.28,1.94
Banana,2003,Whole Year,Puducherry,280.0,10095.0,1434.5875,27714.4,67.2,26.56
Black pepper,2003,Whole Year,Puducherry,12.0,8.0,1434.5875,1187.76,2.88,0.67
Cashewnut,2003,Whole Year,Puducherry,217.0,172.0,1434.5875,21478.66,52.08,1.08
Coconut,2003,Whole Year,Puducherry,2252.0,30732000.0,1434.5875,222902.96,540.48,12300.735
Coriander,2003,Whole Year,Puducherry,2.0,1.0,1434.5875,197.96,0.48,0.5
Cotton(lint),2003,Kharif,Puducherry,453.0,1747.0,1434.5875,44837.94,108.72,4.095
Dry chillies,2003,Whole Year,Puducherry,11.0,30.0,1434.5875,1088.78,2.64,2.333333333
Ginger,2003,Kharif,Puducherry,187.0,156.0,1434.5875,18509.26,44.88,0.565
Moong(Green Gram),2003,Rabi,Puducherry,1299.0,388.0,1434.5875,128575.02,311.76,0.483333333
Onion,2003,Whole Year,Puducherry,7.0,100.0,1434.5875,692.86,1.68,8.75
Other  Rabi pulses,2003,Rabi,Puducherry,141.0,138.0,1434.5875,13956.18,33.84,0.99
Ragi,2003,Kharif,Puducherry,121.0,266.0,1434.5875,11976.58,29.04,1.605
Rice,2003,Kharif,Puducherry,25065.0,67003.0,1434.5875,2480933.7,6015.6,2.993333333
Sugarcane,2003,Whole Year,Puducherry,1733.0,146675.0,1434.5875,171532.34,415.92,54.985
Tapioca,2003,Whole Year,Puducherry,567.0,16716.0,1434.5875,56121.66,136.08,20.005
Urad,2003,Rabi,Puducherry,1174.0,437.0,1434.5875,116202.52,281.76,0.71
Arhar/Tur,2003,Kharif,Tamil Nadu,44914.0,27475.0,345.6,4445587.72,10779.36,0.6396
Bajra,2003,Kharif,Tamil Nadu,158851.0,172342.0,345.6,15723071.98,38124.24,1.0744
Banana,2003,Whole Year,Tamil Nadu,71088.0,2514729.0,345.6,7036290.24,17061.12,34.52965517
Black pepper,2003,Whole Year,Tamil Nadu,4179.0,933.0,345.6,413637.42,1002.96,0.141666667
Cardamom,2003,Whole Year,Tamil Nadu,5221.0,478.0,345.6,516774.58,1253.04,0.079
Cashewnut,2003,Whole Year,Tamil Nadu,102763.0,39380.0,345.6,10171481.74,24663.12,0.361153846
Castor seed,2003,Kharif,Tamil Nadu,8720.0,2975.0,345.6,863105.6,2092.8,0.409545455
Coconut,2003,Whole Year,Tamil Nadu,352710.0,2560500000.0,345.6,34911235.8,84650.4,7781.805714
Coriander,2003,Whole Year,Tamil Nadu,27722.0,8052.0,345.6,2743923.56,6653.28,0.300740741
Cotton(lint),2003,Kharif,Tamil Nadu,97777.0,119687.0,345.6,9677967.46,23466.48,1.504615385
Dry chillies,2003,Whole Year,Tamil Nadu,75206.0,40067.0,345.6,7443889.88,18049.44,0.64
Garlic,2003,Whole Year,Tamil Nadu,595.0,3411.0,345.6,58893.1,142.8,5.54
Ginger,2003,Kharif,Tamil Nadu,395.0,5599.0,345.6,39097.1,94.8,14.11833333
Gram,2003,Rabi,Tamil Nadu,6625.0,4349.0,345.6,655742.5,1590.0,0.586666667
Groundnut,2003,Kharif,Tamil Nadu,591696.0,918241.0,345.6,58566070.08,142007.04,1.513928571
Horse-gram,2003,Kharif,Tamil Nadu,68092.0,18240.0,345.6,6739746.16,16342.08,0.273043478
Jowar,2003,Kharif,Tamil Nadu,401607.0,245933.0,345.6,39751060.86,96385.68,0.7376
Maize,2003,Kharif,Tamil Nadu,160159.0,250992.0,345.6,15852537.82,38438.16,1.7856
Moong(Green Gram),2003,Kharif,Tamil Nadu,125690.0,53315.0,345.6,12440796.2,30165.6,0.407037037
Onion,2003,Whole Year,Tamil Nadu,23452.0,211173.0,345.6,2321278.96,5628.48,8.768076923
Other Kharif pulses,2003,Kharif,Tamil Nadu,105792.0,21757.0,345.6,10471292.16,25390.08,0.239642857
Potato,2003,Whole Year,Tamil Nadu,4341.0,70103.0,345.6,429672.18,1041.84,17.054
Ragi,2003,Kharif,Tamil Nadu,118439.0,176381.0,345.6,11723092.22,28425.36,1.792962963
Rapeseed &Mustard,2003,Rabi,Tamil Nadu,376.0,93.0,345.6,37216.48,90.24,0.386666667
Rice,2003,Kharif,Tamil Nadu,1396651.0,3222776.0,345.6,138240516.0,335196.24,2.728214286
Sesamum,2003,Kharif,Tamil Nadu,83835.0,29004.0,345.6,8297988.3,20120.4,0.347142857
Small millets,2003,Kharif,Tamil Nadu,68609.0,42529.0,345.6,6790918.82,16466.16,2.611153846
Sugarcane,2003,Whole Year,Tamil Nadu,192069.0,19529277.0,345.6,19010989.62,46096.56,96.11384615
Sunflower,2003,Kharif,Tamil Nadu,10367.0,13408.0,345.6,1026125.66,2488.08,1.1916
Sweet potato,2003,Whole Year,Tamil Nadu,1039.0,15049.0,345.6,102840.22,249.36,14.55
Tapioca,2003,Whole Year,Tamil Nadu,95022.0,3201414.0,345.6,9405277.56,22805.28,33.38214286
Turmeric,2003,Whole Year,Tamil Nadu,16181.0,67250.0,345.6,1601595.38,3883.44,3.909615385
Urad,2003,Kharif,Tamil Nadu,185732.0,75920.0,345.6,18383753.36,44575.68,0.412962963
Arecanut,2004,Whole Year,Karnataka,152759.0,203646.0,1117.7,16549910.06,32079.39,1.297272727
Arhar/Tur,2004,Kharif,Karnataka,562127.0,291113.0,1117.7,60900839.18,118046.67,0.53875
Bajra,2004,Kharif,Karnataka,442372.0,264203.0,1117.7,47926582.48,92898.12,0.592
Bajra,2004,Rabi,Karnataka,222.0,200.0,1117.7,24051.48,46.62,0.9
Bajra,2004,Summer,Karnataka,2108.0,1705.0,1117.7,228380.72,442.68,0.873333333
Banana,2004,Whole Year,Karnataka,41977.0,526898.0,1117.7,4547788.18,8815.17,16.32777778
Black pepper,2004,Whole Year,Karnataka,12344.0,27517.0,1117.7,1337348.96,2592.24,2.26
Cardamom,2004,Whole Year,Karnataka,19461.0,1105.0,1117.7,2108404.74,4086.81,0.0575
Castor seed,2004,Kharif,Karnataka,20161.0,17493.0,1117.7,2184242.74,4233.81,0.908
Coconut,2004,Whole Year,Karnataka,383206.0,1551729000.0,1117.7,41516538.04,80473.26,4165.395185
Coriander,2004,Whole Year,Karnataka,9626.0,1491.0,1117.7,1042880.84,2021.46,0.119
Cotton(lint),2004,Kharif,Karnataka,521860.0,624566.0,1117.7,56538312.4,109590.6,1.357142857
Dry chillies,2004,Whole Year,Karnataka,152323.0,104577.0,1117.7,16502673.82,31987.83,1.084814815
Garlic,2004,Whole Year,Karnataka,5202.0,3584.0,1117.7,563584.68,1092.42,1.360625
Ginger,2004,Kharif,Karnataka,11019.0,143455.0,1117.7,1193798.46,2313.99,12.84
Gram,2004,Rabi,Karnataka,408094.0,230979.0,1117.7,44212903.96,85699.74,0.5444
Groundnut,2004,Kharif,Karnataka,812826.0,538320.0,1117.7,88061568.84,170693.46,0.6988
Groundnut,2004,Rabi,Karnataka,155751.0,145766.0,1117.7,16874063.34,32707.71,1.042692308
Horse-gram,2004,Kharif,Karnataka,140741.0,73217.0,1117.7,15247879.94,29555.61,0.553461538
Horse-gram,2004,Rabi,Karnataka,142341.0,48305.0,1117.7,15421223.94,29891.61,0.3556
Jowar,2004,Kharif,Karnataka,378181.0,530865.0,1117.7,40972129.54,79418.01,1.296190476
Jowar,2004,Rabi,Karnataka,1268635.0,815027.0,1117.7,137443915.9,266413.35,0.61
Jowar,2004,Summer,Karnataka,15977.0,12690.0,1117.7,1730948.18,3355.17,0.799230769
Linseed,2004,Rabi,Karnataka,14414.0,3046.0,1117.7,1561612.76,3026.94,0.206428571
Maize,2004,Kharif,Karnataka,783835.0,2310082.0,1117.7,84920683.9,164605.35,3.0068
Maize,2004,Rabi,Karnataka,57478.0,171589.0,1117.7,6227166.52,12070.38,2.84826087
Maize,2004,Summer,Karnataka,9056.0,27678.0,1117.7,981127.04,1901.76,3.007826087
Mesta,2004,Kharif,Karnataka,2810.0,3983.0,1117.7,304435.4,590.1,1.714
Moong(Green Gram),2004,Kharif,Karnataka,517592.0,81212.0,1117.7,56075917.28,108694.32,0.170833333
Moong(Green Gram),2004,Rabi,Karnataka,5792.0,1412.0,1117.7,627505.28,1216.32,0.239411765
Niger seed,2004,Kharif,Karnataka,32700.0,6169.0,1117.7,3542718.0,6867.0,0.213913043
Onion,2004,Whole Year,Karnataka,136038.0,841333.0,1117.7,14738356.92,28567.98,7.8688
Other  Rabi pulses,2004,Rabi,Karnataka,23981.0,2810.0,1117.7,2598101.54,5036.01,0.120384615
Other Kharif pulses,2004,Kharif,Karnataka,164849.0,54161.0,1117.7,17859740.66,34618.29,0.276153846
Potato,2004,Whole Year,Karnataka,51937.0,360759.0,1117.7,5626854.58,10906.77,10.17875
Ragi,2004,Kharif,Karnataka,840781.0,1571399.0,1117.7,91090213.54,176564.01,1.603157895
Ragi,2004,Rabi,Karnataka,44613.0,30621.0,1117.7,4833372.42,9368.73,1.294285714
Ragi,2004,Summer,Karnataka,7447.0,11853.0,1117.7,806807.98,1563.87,1.556923077
Rapeseed &Mustard,2004,Rabi,Karnataka,5855.0,1627.0,1117.7,634330.7,1229.55,0.216315789
Rice,2004,Kharif,Karnataka,1055061.0,2627561.0,1117.7,114305308.7,221562.81,2.37
Rice,2004,Rabi,Karnataka,43861.0,144235.0,1117.7,4751900.74,9210.81,3.388666667
Rice,2004,Summer,Karnataka,209257.0,935326.0,1117.7,22670903.38,43943.97,4.251666667
Safflower,2004,Rabi,Karnataka,94450.0,48832.0,1117.7,10232713.0,19834.5,0.488125
Sannhamp,2004,Whole Year,Karnataka,147.0,37.0,1117.7,15925.98,30.87,0.25
Sesamum,2004,Kharif,Karnataka,106539.0,57400.0,1117.7,11542435.26,22373.19,0.5664
Small millets,2004,Kharif,Karnataka,58359.0,30584.0,1117.7,6322614.06,12255.39,0.532105263
Soyabean,2004,Kharif,Karnataka,159031.0,99535.0,1117.7,17229418.54,33396.51,0.633846154
Sunflower,2004,Kharif,Karnataka,601981.0,262686.0,1117.7,65218621.54,126416.01,0.56375
Sunflower,2004,Rabi,Karnataka,623217.0,235635.0,1117.7,67519329.78,130875.57,0.635652174
Sunflower,2004,Summer,Karnataka,45930.0,29797.0,1117.7,4976056.2,9645.3,0.684347826
Sweet potato,2004,Whole Year,Karnataka,3583.0,29199.0,1117.7,388182.22,752.43,6.102142857
Tapioca,2004,Whole Year,Karnataka,1066.0,8428.0,1117.7,115490.44,223.86,9.385
Tobacco,2004,Whole Year,Karnataka,91403.0,67502.0,1117.7,9902601.02,19194.63,0.75
Turmeric,2004,Whole Year,Karnataka,4080.0,19386.0,1117.7,442027.2,856.8,4.482857143
Urad,2004,Kharif,Karnataka,128006.0,14678.0,1117.7,13868170.04,26881.26,0.134285714
Urad,2004,Rabi,Karnataka,4505.0,1550.0,1117.7,488071.7,946.05,0.347857143
Wheat,2004,Rabi,Karnataka,241991.0,206296.0,1117.7,26217304.94,50818.11,0.845333333
Arecanut,2004,Whole Year,Kerala,107572.0,110342.0,2880.2,11654350.48,22590.12,0.854285714
Banana,2004,Whole Year,Kerala,58866.0,475371.0,2880.2,6377542.44,12361.86,7.803571429
Black pepper,2004,Whole Year,Kerala,237669.0,74980.0,2880.2,25749059.46,49910.49,0.222857143
Cardamom,2004,Whole Year,Kerala,41378.0,8616.0,2880.2,4482892.52,8689.38,0.069
Cashewnut,2004,Whole Year,Kerala,81547.0,60584.0,2880.2,8834801.98,17124.87,0.56
Coconut,2004,Whole Year,Kerala,899267.0,6001000000.0,2880.2,97426586.78,188846.07,6112.145714
Cotton(lint),2004,Kharif,Kerala,1472.0,2370.0,2880.2,159476.48,309.12,1.61
Garlic,2004,Whole Year,Kerala,306.0,5202.0,2880.2,33152.04,64.26,17.0
Ginger,2004,Whole Year,Kerala,9991.0,45305.0,2880.2,1082424.94,2098.11,3.022857143
Groundnut,2004,Kharif,Kerala,1346.0,996.0,2880.2,145825.64,282.66,0.74
Jowar,2004,Kharif,Kerala,2566.0,1309.0,2880.2,278000.44,538.86,0.505
Other Cereals,2004,Kharif,Kerala,955.0,746.0,2880.2,103464.7,200.55,0.8475
Ragi,2004,Kharif,Kerala,1383.0,1119.0,2880.2,149834.22,290.43,0.782
Rice,2004,Autumn,Kerala,105349.0,241824.0,2880.2,11413510.66,22123.29,2.271538462
Rice,2004,Summer,Kerala,35732.0,89752.0,2880.2,3871204.88,7503.72,2.256923077
Rice,2004,Winter,Kerala,148893.0,335529.0,2880.2,16131067.62,31267.53,2.175714286
Sesamum,2004,Kharif,Kerala,883.0,260.0,2880.2,95664.22,185.43,0.228333333
Sugarcane,2004,Whole Year,Kerala,1921.0,154300.0,2880.2,208121.14,403.41,82.35153846
Sweet potato,2004,Whole Year,Kerala,836.0,10013.0,2880.2,90572.24,175.56,11.52769231
Tapioca,2004,Whole Year,Kerala,88486.0,2400043.0,2880.2,9586573.24,18582.06,28.10571429
Tobacco,2004,Whole Year,Kerala,40.0,223.0,2880.2,4333.6,8.4,5.58
Turmeric,2004,Whole Year,Kerala,2881.0,6244.0,2880.2,312127.54,605.01,2.025
Arecanut,2004,Whole Year,Tamil Nadu,5077.0,7390.0,1034.0,550042.18,1066.17,1.55
Arhar/Tur,2004,Kharif,Tamil Nadu,43416.0,28979.0,1034.0,4703689.44,9117.36,0.6684
Bajra,2004,Kharif,Tamil Nadu,97608.0,124300.0,1034.0,10574850.72,20497.68,1.408846154
Banana,2004,Whole Year,Tamil Nadu,81498.0,3461788.0,1034.0,8829493.32,17114.58,41.73931034
Cardamom,2004,Whole Year,Tamil Nadu,4936.0,450.0,1034.0,534766.24,1036.56,0.071818182
Cashewnut,2004,Whole Year,Tamil Nadu,104659.0,44497.0,1034.0,11338756.06,21978.39,0.34037037
Castor seed,2004,Kharif,Tamil Nadu,8269.0,2598.0,1034.0,895863.46,1736.49,0.3392
Coconut,2004,Whole Year,Tamil Nadu,357056.0,4097000000.0,1034.0,38683447.04,74981.76,10877.70276
Coriander,2004,Whole Year,Tamil Nadu,19350.0,8391.0,1034.0,2096379.0,4063.5,0.4236
Cotton(lint),2004,Kharif,Tamil Nadu,129364.0,185960.0,1034.0,14015295.76,27166.44,1.571153846
Dry chillies,2004,Whole Year,Tamil Nadu,66990.0,44631.0,1034.0,7257696.6,14067.9,0.761724138
Garlic,2004,Whole Year,Tamil Nadu,443.0,2632.0,1034.0,47994.62,93.03,5.854
Ginger,2004,Kharif,Tamil Nadu,574.0,11076.0,1034.0,62187.16,120.54,19.255
Gram,2004,Rabi,Tamil Nadu,6420.0,3942.0,1034.0,695542.8,1348.2,0.545
